# lambda(AA) flux_nu eflux_nu
# magzp = 31.4
5507.77 nan nan
5507.77 nan nan
5507.77 nan nan
5542.20 nan nan
5577.35 nan nan
5613.04 nan nan
5649.32 nan nan
5686.54 nan nan
5724.39 nan nan
5762.90 nan nan
5802.12 nan nan
5842.26 nan nan
5883.22 nan nan
5924.96 nan nan
5967.53 nan nan
6010.97 -226.473 75.926
6055.31 -187.032 47.743
6100.58 -51.221 46.394
6146.89 -29.140 43.819
6194.21 26.059 37.659
6242.56 16.667 35.944
6291.96 -55.440 33.933
6342.45 -83.028 34.240
6394.08 -62.224 31.124
6446.87 15.420 29.888
6500.89 60.532 28.280
6556.23 14.663 26.662
6612.87 66.541 25.597
6670.83 -63.145 25.511
6730.16 5.633 26.196
6790.88 6.327 24.050
6853.10 39.108 20.450
6916.98 -21.776 18.927
6982.37 -5.669 18.058
7049.30 -8.955 18.884
7118.15 18.612 18.220
7188.63 22.720 17.074
7260.96 -3.409 16.064
7335.19 -36.320 16.244
7411.35 -66.211 14.385
7489.54 5.726 14.988
7569.85 16.639 14.596
7652.21 12.594 14.594
7736.93 42.387 14.551
7823.92 -0.841 14.776
7913.25 -14.738 14.146
8005.01 25.526 14.997
8099.31 -27.010 14.239
8196.27 3.252 13.380
8295.90 -4.286 14.435
8398.28 32.221 13.629
8503.53 -8.782 14.248
8611.71 -25.288 14.488
8722.87 -72.755 14.118
8837.05 -39.097 14.278
8954.36 -16.500 13.907
9074.94 24.723 13.902
9198.68 -11.829 14.486
9325.85 16.026 13.336
9456.30 51.790 13.526
9590.21 5.703 13.886
9727.57 4.956 14.632
9868.37 17.696 13.920
10012.66 -27.650 14.790
10160.45 -27.362 13.478
10311.74 -41.382 13.000
10466.51 -44.312 12.367
10624.71 -13.380 12.563
10786.30 37.754 12.267
10951.22 -46.797 10.666
11119.47 -2.792 11.939
11290.87 23.907 12.433
11465.39 2.531 12.092
11642.88 -17.904 11.897
11823.27 -9.910 9.526
12006.37 22.202 9.461
12192.09 -9.129 9.733
12380.26 -8.482 10.010
12570.73 -0.064 9.694
12763.33 6.614 10.046
12957.91 -15.213 10.053
13154.29 25.936 10.953
13352.31 52.911 11.579
13551.80 97.614 10.653
13752.60 70.374 10.643
13954.53 100.688 11.061
14157.44 102.104 11.134
14361.17 36.555 11.846
14565.57 7.327 12.709
14770.49 23.132 13.302
14975.79 41.526 12.805
15181.35 90.176 13.017
15387.03 108.058 13.503
15592.73 54.419 15.050
15798.33 31.371 18.481
16003.74 53.055 19.979
16221.70 36.472 17.914
16426.40 19.218 18.241
16630.63 2.876 16.649
16834.32 98.905 17.395
17037.40 71.717 16.162
17239.82 86.884 16.277
17441.51 49.487 16.247
17642.44 49.214 18.389
17842.54 43.391 19.576
18041.79 15.064 20.734
18240.15 47.042 23.092
18437.58 73.332 20.216
18634.07 67.571 18.161
18829.58 12.285 18.150
19024.10 33.602 22.586
19217.61 12.179 28.574
19234.09 6.300 30.005
19234.09 18.233 31.705
19426.04 22.576 26.340
19616.95 57.321 21.160
19806.83 90.028 20.809
20007.35 26.277 17.043
20195.07 23.141 14.351
20381.71 91.197 13.725
20567.30 51.417 14.101
20751.84 42.023 13.671
20935.31 57.051 13.459
21117.73 83.979 13.831
21299.10 14.071 14.341
21479.41 60.816 14.147
21658.68 60.946 14.494
21836.91 41.155 15.345
22014.11 73.120 15.046
22190.29 54.750 15.899
22365.44 49.627 16.703
22539.59 40.499 16.723
22712.72 59.560 15.423
22884.87 55.053 15.002
23056.04 51.165 15.790
23226.22 55.416 15.674
23395.44 49.616 15.807
23563.70 49.172 16.926
23731.01 16.571 16.160
23897.39 41.646 17.123
24062.82 56.150 17.506
24227.35 16.607 17.884
24390.97 64.334 17.655
24553.69 47.951 16.969
24715.51 49.574 17.661
24876.46 20.286 17.823
25036.54 63.981 17.958
25195.76 94.771 18.212
25354.13 62.540 18.308
25511.66 61.970 18.336
25668.35 37.935 19.700
25824.23 8.833 19.392
25979.30 61.528 19.695
26133.56 21.317 19.444
26287.04 72.302 18.065
26439.73 83.569 17.854
26591.64 96.082 18.669
26742.79 -11.491 19.266
26893.19 43.767 20.099
27042.83 90.603 20.059
27191.74 92.088 20.290
27339.92 63.356 19.591
27487.37 47.419 20.984
27634.12 44.215 20.316
27780.15 8.788 21.348
27925.50 -26.688 21.466
28070.15 -14.755 21.306
28214.13 64.062 22.342
28357.43 89.540 21.972
28500.07 50.935 21.965
28642.05 69.701 23.117
28783.37 61.632 23.387
28924.06 19.473 21.914
29064.11 57.063 21.889
29203.54 93.786 21.662
29342.35 69.587 22.856
29480.53 115.720 23.183
29618.11 58.121 23.248
29755.10 76.581 23.149
29891.49 68.448 23.296
30027.29 101.062 23.098
30162.51 33.551 23.308
30297.17 47.810 25.557
30431.24 54.635 25.794
30564.75 47.756 25.552
30697.72 26.534 25.738
30830.13 54.792 27.291
30962.00 23.678 25.957
31093.33 90.766 24.714
31224.12 72.208 24.943
31354.40 90.090 25.518
31484.14 59.058 28.600
31613.38 65.655 28.338
31742.10 109.486 27.346
31870.31 70.327 27.404
31998.04 37.232 25.826
32125.25 4.731 26.542
32251.99 53.467 27.608
32378.23 69.197 27.999
32504.00 66.945 26.893
32629.29 42.622 27.539
32754.11 0.924 27.879
32878.46 10.864 29.289
33002.36 29.343 28.954
33125.79 57.428 29.898
33248.79 87.721 29.216
33371.31 158.122 29.417
33493.41 65.466 30.728
33615.06 -20.741 32.301
33736.28 18.481 31.495
33857.07 18.803 32.147
33977.42 38.669 30.847
34097.37 -2.341 30.495
34216.88 13.285 29.759
34335.98 58.730 30.084
34454.68 27.951 29.773
34572.96 -11.481 31.188
34690.84 18.142 33.410
34808.32 -24.541 34.087
34925.40 23.246 35.790
35042.10 44.892 33.492
35158.40 103.006 34.457
35274.31 25.663 36.242
35389.85 -13.842 37.116
35505.00 58.294 38.196
35619.78 50.492 37.623
35741.20 18.252 37.032
35855.21 28.946 35.891
35968.86 14.117 34.002
36082.14 -15.209 34.703
36195.07 43.216 33.552
36307.64 48.565 33.935
36419.85 14.231 35.263
36531.72 66.267 35.696
36643.24 66.303 34.918
36754.41 48.891 36.488
36865.24 28.716 35.376
36975.73 22.072 38.436
37085.89 29.581 39.391
37195.72 15.961 39.427
37305.21 46.812 37.995
37414.37 3.574 36.362
37523.21 52.722 36.242
37631.73 40.711 36.582
37739.93 76.204 37.504
37847.81 -4.256 37.719
37955.37 2.343 36.675
38062.62 32.286 37.682
38169.56 16.851 39.040
38276.20 88.699 40.165
38382.53 114.625 39.953
38488.55 19.215 39.665
38594.28 41.548 39.890
38699.71 104.336 42.715
38804.84 42.759 43.347
38909.67 28.453 40.910
39014.22 0.384 40.059
39118.47 71.096 39.891
39222.44 60.329 40.860
39326.13 -13.887 38.705
39429.53 28.845 40.178
39532.65 -1.247 42.618
39635.49 34.693 42.790
39738.06 57.826 43.520
39840.35 -15.234 42.321
39942.36 111.226 43.010
40044.11 70.205 43.321
40145.59 30.716 43.848
40246.80 51.195 45.091
40347.75 74.915 46.120
40448.43 -57.799 44.445
40548.85 -9.467 45.038
40649.01 88.934 42.740
40748.92 -10.995 42.931
40848.56 9.457 42.626
40954.02 15.308 43.016
41053.15 145.004 45.720
41152.03 37.888 47.908
41250.66 -31.576 46.545
41349.04 56.998 45.502
41447.17 138.576 46.021
41545.06 73.574 46.193
41642.71 82.820 44.796
41740.12 32.427 49.294
41837.28 49.405 51.022
41934.22 47.878 56.168
42030.91 43.778 53.229
42127.37 135.818 51.270
42223.60 85.984 48.017
42319.60 79.751 47.360
42415.37 74.990 51.263
42510.91 -51.160 48.589
42606.23 -28.303 48.218
42701.32 18.697 49.810
42796.19 17.768 52.754
42890.83 147.077 51.448
42985.25 25.476 50.695
43079.45 19.250 52.533
43173.43 -6.321 53.963
43267.20 -62.477 52.181
43360.75 133.465 53.697
43454.09 96.419 50.974
43547.22 -22.177 52.766
43640.13 -33.501 51.694
43732.83 -58.117 52.272
43825.33 89.026 55.214
43917.62 26.922 54.639
44009.70 24.196 52.698
44101.58 59.190 52.489
44193.25 173.315 49.775
44284.71 189.696 52.784
44375.98 110.782 52.473
44467.05 145.105 53.833
44557.92 117.899 54.875
44648.59 -37.265 55.195
44739.06 -62.958 62.888
44829.34 95.495 65.101
44919.42 22.976 55.654
45009.32 38.468 56.243
45099.02 31.439 58.065
45188.52 -2.646 60.135
45277.84 120.892 57.308
45366.96 112.176 61.317
45455.91 124.199 59.080
45544.66 -123.311 58.651
45633.23 -31.092 62.290
45721.61 149.130 61.097
45809.81 3.707 67.937
45897.83 -27.348 67.654
45985.67 10.956 68.823
46073.32 73.394 63.075
46160.80 114.846 64.424
46248.10 43.062 66.402
46335.21 64.232 61.140
46422.15 11.274 58.170
46508.92 -38.823 58.466
46595.52 93.933 62.451
46681.93 -126.078 69.877
46768.18 nan nan
46854.25 nan nan
46940.16 nan nan
47025.89 nan nan
47111.45 nan nan
47196.85 -60.094 64.127
47282.07 -37.460 65.390
47367.14 114.411 63.700
47452.04 -68.604 66.175
47536.76 -3.663 70.369
47621.33 -44.804 67.845
47705.74 -152.614 71.282
47789.98 -59.829 68.527
47874.06 63.041 68.310
47957.98 18.962 73.860
48041.74 4.796 68.638
48125.34 85.215 72.013
48208.78 -47.805 74.047
48292.07 -61.245 71.418
48375.20 -57.126 70.139
48458.17 162.956 70.980
48540.99 83.241 72.371
48623.66 48.609 73.942
48706.17 49.503 69.685
48788.53 44.755 70.909
48870.73 29.066 73.671
48952.79 8.757 78.998
49034.69 127.168 86.446
49116.45 -13.230 77.954
49198.06 -39.322 74.809
49284.44 64.472 72.104
